Access to electricity (% of population),Access to clean fuels for cooking,Renewable-electricity-generating-capacity-per-capita,Financial flows to developing countries (US $),Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Value_co2_emissions_kt_by_country,Renewables (% equivalent primary energy),gdp_growth,gdp_per_capita,Density(P/Km2),Land Area(Km2)
99.7109,95.4,550.89,2300000.0,43.62,128.85,13.91,1.301939636007125,77.456825,17140.15,4.05,-0.10133907072507535,2.3795436718598535,-1.888085954194108,8813.989806,25,8515770.0
99.7,95.7,588.73,161960000.0,45.46,93.06,14.97,1.4375480856262928,83.713684,16591.764,4.03,-0.12174543602645575,2.62425720694498,-1.8254452849167275,8710.06329,25,8515770.0
99.8,95.7,617.89,521620000.0,45.33,101.9,14.86,1.4415896568967712,82.4661,16608.686,4.05,-0.116726514900858,2.6027452246182805,-0.757908576914963,9928.675897,25,8515770.0
99.7,95.8,652.03,256430000.0,46.95,86.69,14.79,1.5524778162207784,85.409164,16539.11,3.93,-0.12872711873972895,2.836173685594242,-0.650941548776619,9151.381732,25,8515770.0
99.8,95.8,684.92,50980000.0,47.57,90.91,15.16,1.6306802583767397,85.30534,16681.945,3.93,-0.12856177836690225,2.93825067714444,-0.7374148340252211,8897.552966,25,8515770.0
97.0218,42.0,58.78,243620000.0,29.63,1113.3,16.74,0.5044159848180084,17.874004,9334.936,10.85,1.4247057178145406,-0.5340474116689499,0.9058511972503382,959.3724836,153,9596960.0
97.27279,42.3,61.01,325050000.0,28.36,1182.59,17.47,0.7208950984027739,20.1379,9797.812,10.36,1.52207061696058,-0.45386800103107994,0.8700189382981279,1053.108243,153,9596960.0
97.516205,43.1,63.68,218270000.0,27.0,1337.46,25.13,0.762801876236475,19.137848,10602.087,10.12,1.6719341891686503,-0.48205925952853235,1.0552384021272156,1148.50829,153,9596960.0
97.75438,43.4,70.24,22510000.0,23.86,1579.96,43.34,0.7465963525985361,17.304693,12273.32,10.48,1.995070500272585,-0.5637127155963754,1.2651807382520341,1288.643252,153,9596960.0
97.98967,44.9,77.85,32680000.0,20.17,1795.41,50.47,1.0218548231073505,18.513056,14272.745,10.83,2.3731746817487416,-0.5387150304400635,1.2827279912102671,1508.668098,153,9596960.0
